Title,Keywords,Abstract
Smart homes as an IoT application: predicting attitudes and behaviours,Internet of Things; user acceptance; smart home attributes; smart home; Technology Acceptance Model,"Smart homes are one of the recent Internet of Things (IoT) applications that offer control and automation to residents to allow them to connect and manage home appliances intelligently. Despite its potential, the success of smart home heavily depends on accepting them by residents. Thus, this study aims to investigate the factors that influence residents acceptance and usage of smart home. By extending the technology acceptance model, this research focused on the role of smart home attributes on the intention to use them and investigate their impact quantitatively by using Structural Equation Modeling (SEM) and Partial Least Squares (PLS). Results show that service personalization, perceived usefulness, and perceived ease of use significantly influence attitude towards smart home which, with the cost and availability factors, impact the intention to use."
A systematic review of the smart home literature: A user perspective,Smart home; Smart technology; Systematic literature review; User perspective,"A smart home is a residence equipped with smart technologies aimed at providing tailored services for users. Smart technologies make it possible to monitor, control and support residents, which can enhance the quality life and promote independent living. To facilitate the implementation and adoption of smart home technology it is important to examine the user's perspective and the current state of smart homes. Given the fast pace with which the literature has been developing in this area, there is a strong need to revisit the literature. The aim of this paper is to systematically review the smart home literature and survey the current state of play from the users' perspective. After discussing the systematic methodology, the review presents a comprehensive view of smart home definitions and characteristics. Then the study turns towards a discussion of the smart home types, related services and benefits. After outlining the current state of smart home benefits, the review discusses the challenges and barriers to smart home implementation. This review concludes by providing suggestions for future research."
A New Intelligent System Architecture for Energy Saving in Smart Homes,Smart Homes; Recommender Systems; Energy Efficiency; Cloud Computing; Web Services,"Technologies to support the development of smarter energy systems and increase the opportunities for home energy management have increased in recent years. Through the addition of sensing, communication and drive components, devices and home appliances become increasingly smart so that they can communicate with each other, transmit data to end users and facilitate remote operation and automation, for example during periods of peak demand. This has the potential to provide energy-related benefits to end-users and network operators. One of the key benefits of intelligent techniques is the potential to support power reductions and demand side management. Within this context, this work aims to propose a system architecture for recommend suggestions to smart homes inhabitants (according to different user profiles), aiming cost reduction and energy efficiency. The work also includes the implementation of a RESTFul mining web service, which is part of the proposed architecture. The web service is used to release data mining, classifying data over the proposed recommender system. Through the data model transmission known as JSON (JavaScript Object Notation), the web service receives data and automatically convert to JSON Instances structures, processing the same with the data mining algorithms."
Design of Smart Home Management System based on MQTT and FBP,FBP; information management system; MQTT; smart home,"As a typical application scenario of Internet of Things (IoT) technology, smart home can not only provide people with a convenient, comfortable, safe and intelligent home environment, but also improve the modernization and intelligence of the home management application. This paper designs a smart home system based on MQTT and FBP. The system adopts MQTT as communication protocol of the smart home system, and introduces the component-oriented flow-based programming (FBP), which enables users to connect some visual components according to their own preferences. Finally, the FBP service rule applications are constructed to achieve intelligent associative control of devices in the smart home system."
PrivacyGuard: Enhancing Smart Home User Privacy,IoT privacy; Smart Home; Machine Learning; Deep Learning,"The Internet of Things (IoT) devices have been increasingly deployed in smart homes and smart buildings to monitor and control their environments. The Internet tra.c data produced by these IoT devices are collected by Internet Service Providers (ISPs) and IoT device manufacturers, and often shared with third-parties to maintain and enhance user services. Unfortunately, extensive recent research has shown that on-path adversaries can infer and fingerprint users' sensitive privacy information such as occupancy and user in-home activities by analyzing IoT network traffic traces. Most recent approaches that aim at defending against these malicious IoT tra.c analytics can not sufficiently protect user privacy with reasonable tra.c overhead. In particular, many approaches did not consider practical limitations, e.g., network bandwidth, maximum package injection rate or actual user in-home behavior in their design. To address this problem, we design a new low-cost, open-source user tunable defense system-PrivacyGuard that enables users to significantly reduce the private information leaked through IoT device network traffic data, while still permitting sophisticated data analytics or control that is necessary in smart home management. In essence, our approach employs intelligent deep convolutional generative adversarial networks (DCGANs)-based IoT device traffic signature learning, long short-term memory (LSTM)-based artificial traffic signature injection, and partial traffic reshaping to obfuscate private information that can be observed in IoT device traffic traces. We evaluate PrivacyGuard using IoT network traffic traces of 31 IoT devices from 5 smart homes. We find that PrivacyGuard can effectively prevent a wide range of state-of-the-art machine learning-based and deep learning-based occupancy and other 9 user in-home activity detection attacks. We release the source code and datasets of PrivacyGuard to IoT research community."
Smart Home Electricity Demand Forecasting System Based on Edge Computing,smart homes; edge computing; short-term electricity demand forecasting; intelligent home gateway,"As the development of the Internet of Things, many terminal devices are continually intelligent. However, with the increase of distributed terminal equipment and the diversification of business, cloud cemputmg technology cannot meet the needs of smart home. In consideration of the advantages of edge compunng and the demand of smart home, this paper proposes an smart home electricity demand forecasting system based on Edge Compunng with a short-term (24-stel)S) electricity demand forecasting. Ow' system utilizes intelligent home gateway to store heterogeneous data into a central repository where it will be processed and analyzed, and these analyzed data would then be used for forecasting local bundled resident electricity demand mainly at intelligent home gateway by acting as a local computing unit to provide edge computing service for residents. Besides, our system can also report the historical and real-time environmental data (indoor and outdoor) and electric data from intelligent home gateway. The experimental results demonstrate our system can provide better service quality and scalability with limited computing resources compared with simply using cloud compuung system only."
Sensemaking in the autonomic smart-home.,Smart-Home; Autonomic Computing; Cybernetic spaces; Manager Architecture; Collaboration,"In the future smart living spaces the users will face more and more misunderstanding situations. In this paper we present an original scenario showing three aspects : the misunderstanding situations, the purpose requests and the causality requests. Autonomic computing is an approach to overcome the massive development of the Internet and the growing complexity of resources and services management in the IT domain. We state that since the smart-home has to self-managed they need to be autonomic. As a contribution we introduce a model that extends the autonomic architecture in order to manage misunderstanding situations and facilitate the sensemaking processes in the Autonomic Smart-Home. We name this extension IHMUNE which stands for Intelligent Home Manager for Understandable Novel Experiences. Then we discuss about the different kinds of collaborations that will arise in the smart-cities, the privacy concerns and the sensemaking."
Dynamic QoS-Aware Scheduling for Concurrent Traffic in Smart Home,Smart homes; Quality of service; Games; Sensors; Logic gates; Wireless communication; Internet of Things; Concurrent traffic; Quality of Service (QoS); smart home; traffic scheduling optimization,"Smart home gateway has to process different types of network traffic generated from several devices in an optimal way to meet their Quality-of-Service (QoS) requirements. However, the fluctuation of network traffic distributions results in packets concurrency. Current QoS-aware scheduling methods in smart home networks do not consider concurrent traffic in their scheduling solutions. This article presents an analytic model for a QoS-aware scheduling optimization of concurrent smart home network traffic with mixed arrival distributions and using probabilistic queuing disciplines. We formulate a hybrid QoS-aware scheduling problem for concurrent traffic in smart home network, propose an innovative queuing design based on the auction economic model of the game theory to provide a fair multiple access over different communication channels/ports, and design an applicable model to implement auction game on both sides; traffic sources and the home gateway, without changing the structure of the IEEE 802.11 standard. Our experiments show the proposed solution achieves an improvement of 14% of packets that meet their required delay and 57% of delay for different number of concurrent flows in the system."
Voice Activated Smart Home Design and Implementation,raspberry Pi; Python; smart home; Telegram; Alexa; Alexa skill sets,"For over more than a decade, smart systems have played an important part in human daily life. With the use of modern technologies, smart sensors, processors and phones, the present smart home systems enhance distributed entertainment, household control, home energy monitoring, home security and surveillance. The services provided include voice controlled alarms, personalized calendars with weather forecast, and news report reminders. This paper presents an overall design for low-cost, micro-processor based smart home system designed for hall residents of Nanyang Technological University (as the main beneficiary). It aims to improve their academic performance by providing a better quality of living. The system can also be operated as a computer and supports integration with various sensors through its General-purpose Input / Output pins (GPIO). Users can customize their needs through this system. The presented system integrates household appliance control, entertainment system, hall facilities monitoring and home security. It is controlled via Telegram on smart phones and Alexa Voice Service (AVS) and Amazon Developer Console supported by Amazon."
On the Design of Smart Homes: A Framework for Activity Recognition in Home Environment,Smart homes; Internet of things; Activity recognition; Cloud computing; Multi agent system; Analytics; Wireless sensor and actuator networks; Wearable wireless body sensor networks,"A smart home is a home environment enriched with sensing, actuation, communication and computation capabilities which permits to adapt it to inhabitants preferences and requirements. Establishing a proper strategy of actuation on the home environment can require complex computational tasks on the sensed data. This is the case of activity recognition, which consists in retrieving high-level knowledge about what occurs in the home environment and about the behaviour of the inhabitants. The inherent complexity of this application domain asks for tools able to properly support the design and implementation phases. This paper proposes a framework for the design and implementation of smart home applications focused on activity recognition in home environments. The framework mainly relies on the Cloud-assisted Agent-based Smart home Environment (CASE) architecture offering basic abstraction entities which easily allow to design and implement Smart Home applications. CASE is a three layered architecture which exploits the distributed multi-agent paradigm and the cloud technology for offering analytics services. Details about how to implement activity recognition onto the CASE architecture are supplied focusing on the low-level technological issues as well as the algorithms and the methodologies useful for the activity recognition. The effectiveness of the framework is shown through a case study consisting of a daily activity recognition of a person in a home environment."
Physical Approach in Smart Homes A Proposition and a Prototype,Smart Homes; Physical approach; Ubiquitous Computing; Augmented objects; Home automation,"The state-of-the-art solutions in the Smart Home domain rely on a logical approach, based on a heavy instrumentation of the environment and on complex techniques that analyze very large amounts of data, collected by sensing devices disseminated in the environment. These aspects negatively influence the delivery of transparent and effective user services. This paper proposes the adoption of a physical approach, in which the information and the computations are carried and executed directly by augmented physical entities, allowing small, meaningful exchanges of data that need less complicated processing. The result is a seamless delivery of useful, transparent and effective user services. The paper describes this approach in detail, analyzes some drawbacks of the state-of-the-art Smart Homes, shows how the physical approach can address those issues and illustrates a prototype that demonstrates the feasibility of the proposed solution."
Smart Home Tracking: A Smart Home Architecture for Smart Energy Consumption in a Residence with Multiple Users,Cloud services; Internet of things; Middleware; Mobile application; Smart home,"In this project, an architecture is implemented that can monitor and assist users in calculating their energy consumption by means of IoT technologies. It is necessary to create a system to improve and help the user in their consumption-based planning due to advances in technology. This implementation can be achieved with the use of IoT (Internet of Things) and thus ensure user convenience and comfort, which is the main goal of a smart home. These technologies involve the interoperability of the data obtained from each appliance and the location of users between the communication hardware layers specified for monitoring. This paper also provides information about cloud services, which are made available by middleware and may also include new external applications. The architecture offers details about consumption and recommends means to improve it by creating profiles which can help end users in making decisions for better optimization of the consumption rate that matches the demands of the customers or the electric power utility. This paper concludes that this architecture is very promising and new and viable technologies can be implemented to make significant improvements for the residents and electric power utilities."
Optimizing Smart Home Performance and User Convenience with RSSI-based Proximity Detection,Smart home; Smarthome; Smart home Management Center; IoT; RSSI; BLE,"As the global population continues to urbanize, cities are becoming the main drivers of energy consumption and greenhouse gas emissions. By 2050, it is projected that 70% of the world's population will live in urban areas, placing a significant strain on current city systems and governance. To address this challenge, city planners and urban designers are turning to the concept of smart cities which utilize advanced technology to improve the lives of residents. One of the key elements of smart cities is the integration of smart homes, which are becoming increasingly popular as a means to improve energy efficiency and provide added value to users. This paper presents a novel approach for enhancing user convenience and improving the performance of smart home systems. The proposed system utilizes Received Signal Strength Indicator (RSSI) to establish proximity between devices and provides customized services based on proximity detection. The proposed algorithm addresses smart home systems in a more applicable manner by introducing self-calibration, which uses data already collected by devices in the system to locate devices in the home and build a smart home map for the smart home devices. Experiments conducted in this study demonstrate the feasibility of using RSSI to establish proximity between devices. Moreover, the results show that it is possible to differentiate between distances and establish proximity in terms of other devices."
Toward Smart Home Authentication Using PUF and Edge-Computing Paradigm,IoT; edge computing; smart home; PUF,"The smart home is a crucial embodiment of the internet of things (IoT), which can facilitate users to access smart home services anytime and anywhere. Due to the limited resources of cloud computing, it cannot meet users' real-time needs. Therefore, edge computing emerges as the times require, providing users with better real-time access and storage. The application of edge computing in the smart home environment can enable users to enjoy smart home services. However, users and smart devices communicate through public channels, and malicious attackers may intercept information transmitted through public channels, resulting in user privacy disclosure. Therefore, it is a critical issue to protect the secure communication between users and smart devices in the smart home environment. Furthermore, authentication protocols in smart home environments also have some security challenges. In this paper, we propose an anonymous authentication protocol that applies edge computing to the smart home environment to protect communication security between entities. To protect the security of smart devices, we embed physical unclonable functions (PUF) into each smart device. Real-or-random model, informal security analysis, and ProVerif are adopted to verify the security of our protocol. Finally, we compare our protocol with existing protocols regarding security and performance. The comparison results demonstrate that our protocol has higher security and slightly better performance."
Data Models for Home Services,Context; Data engineering; Data models; Knowledge engineering; Semantic Web; Smart homes; Ubiquitous computing,"An ultimate penetration of communication technologies allowing web access has enriched a conception of smart homes with new paradigms of home services. Modern home services range far beyond such notions as Home Automation or Use of Internet. The services expose their ubiquitous nature by being integrated into smart environments, and provisioned through a variety of end-user devices. Computational intelligence require a use of knowledge technologies, and within a given domain, such requirement as a compliance with modern web architecture is essential. This is where Semantic Web technologies excel. A given work presents an overview of important terms, vocabularies, and data models that may be utilised in data and knowledge engineering with respect to home services."
Policy mixes for more sustainable smart home technologies,smart home technologies; smart energy management; smart grids; smart meters; energy and buildings; energy feedback; digital society,"Smart home technologies refer to devices that provide some degree of digitally connected, automated, or enhanced services to household occupants. Smart homes have become prominent in recent technology and policy discussions about energy efficiency, climate change, and the sustainability of buildings. Nevertheless, do they truly promote sustainability goals? Based on an extensive original dataset involving expert interviews, supplemented with a review of the literature, this study elaborates on an array of social, technical, political, and environmental risks facing smart home innovation, with clear implications for research, policy, and technology development. Only with a more thoughtful and coordinated mix of policies in place will smart home adoption begin to fulfill some of the sustainability objectives their advocates continually promise."
Smart and Energy-Efficient Home Implementation: Wireless Communication Technologies Role,Smart Home; Cloud-Based Solutions; Smart Domestic Appliances; Wireless protocols,"Smart home vision aims for the integration of key electrical appliances and services, communications and information technologies into one intelligent network to be controlled, monitored and managed by the building user. A wireless infrastructure as a smart home communication backbone is the logical choice for a so high level of integration. This paper updates on wireless communication technologies state-of-the-art for short range applications, and discusses their suitability according to major functional areas or services that may benefit from smart home implementation."
A Platform for Proving Family Oriented RESTful Services Hosted at Home,home hosted services; REST at home; home platform; digital home,"Online Internet sites offer services and rich data mash-tips that attract many users to upload their content, social connections and personal information to the cloud. With privacy considerations in mind and the need for set-vices that are targeted for family usage, we present an architecture that allows users to host not only their content but also the actual set-vices at their home infrastructure. The system, which is based on open and standardized web technologies, allows the home set-vices to be selectively opened to remote users and semi-trusted external services, for exporting part of their functionality. Fine-grained access rights are built into the system, which also leverages external social networking sites for making access control and invitation interface easier for the end users. A prototype implementation of the full system, where family services are actually running on a smart phone located at home, is presented. The work proves the feasibility and easiness of using RESTful services in the home environment, due to the clarity of their interfaces(1)."
Design of TensorFlow-Based Proactive Smart Home Managers,IoT; Smart home manager; Machine learning; TensorFlow; Logistic Classification,"In recent years, with IoT(Internet of Things) technology as the main focus, device operation and control technology in smart homes has been attracting considerable attention, and home IoT device management services are being provided by various companies, including communication companies. The smart home manager system manages smart devices used in homes, and it provides only the status value information and control function of the currently registered devices. Thus, unnecessary access procedures occur due to the characteristic of the smart home, which uses a smart device repeatedly for the same purpose. To resolve such shortcomings, in this paper, the Proactive Smart Home Manager has been designed, which can predict and suggest users the next steps to take by user usage pattern analysis and inference via machine learning."
User-centred privacy inference detection for smart home devices,smart home; privacy; user-centred privacy; inference detection,"In the smart home, vast amounts of data are being collected via various interconnected devices. Although this assists in improving the quality of life at home, often the user is not aware of the details concerning data collection apart from the information available on the provider privacy policy. It is however important to put the user inside this loop of information, so that she is well informed on possible uses of the data and the potential risks that this may entail. Previous works have identified user activity inside the smart home and have pointed out privacy threats. In this work, we go one step further by offering data inference techniques and giving this information back to the user. We use a number of machine learning techniques to draw conclusions about the user routines or activities and we inform the user about our findings concerning data inferences through a dedicated web application. Our aim is toward user-centred privacy and is a proof of concept that can be reused by smart home and Internet of Things service providers in general in order to improve the services offered to the end-users. Our results indicate that a large number of data inferences are possible by using a combination of techniques."
Smart home IVR-based system with south Slavic language integration,smart home; IVR; VOIP; IoT,"The smart home concept is rapidly becoming a key component in the emerging Internet-of-Things (IoT) society. Home automation systems help customers by improving energy-efficiency, allowing for security monitoring and convenience with simplified control over smart IoT devices. However, it has been determined that the older population has difficulties interacting with complex technical devices. Possible solution to this problem would be involving Interactive Voice Response (IVR) machine, which would enable intelligent smart home control based on the information it gathers from voice-based commands. We explore the concept of a smart home with the integration of voice over IP (VOIP) and IVR technologies, along with smart IoT devices and cloud-based services. The presented smart home concept uses voice-assistance which allows for fluent and intuitive interaction. We have modified existing solutions applied for the English language and accommodated them to work for south Slavic languages. The design and implementation of the prototype for the simple IVR-based smart-home system are explained."
A CEP-based Smart Residential Service System,component; Complex Event Processing; Smart Home Systems,"With sensor technologies developed for home electronic appliances, smart residential systems provide more effective and convenient services for residents. The management of a huge number of data from such sensors is a great challenge for smart residential systems. Complex event processing (CEP) is a technology designed to manage events efficiently and flexibly. In this paper, we propose a smart residential service system which uses complex event processing technologies to manage all access events from smart key devices timely and intelligently. This work is based on a smart residential system of nTels, Co."
Smart Home at a Finger Tip: OSGi-based MyHome,MyHome; smart home; MOM; OSGi,"This paper introduces MyHome, a framework of smart home by which household information is all at a finger tip. Through adopting Message Oriented Middleware (MOM) and Open Service Gateway Initiative (OSGi) technologies, MyHome offers reliable automatic operations, fault tolerant and configurable home automation, high extensibility and large scalability. In its design, MyHome system is composed of a residential gateway MyServer and Internet accessible GUI MyIcon and MyMobile. MyServer is used to provide services regarding home security, inventory tracking, facility management, GPS location recording and family care. Inherently an interactive and multitasking system driven by peripherals connected through wireless sensor networks, the overall MyServer architecture is designed with six core service modules operating on a MOM. Each of these modules is designed as an OSGi bundles and is implemented by a programming template utilizing event publish/subscribe messaging mechanism. To facilitate program demonstration, simulator and scenario editor are also developed. A successful implementation of the proposed MyServer is also demonstrated in an emulated home environment where peripherals are connected through ZigBee wireless sensor network with data integrated into a database. With these clearly defined service modules and pertinent infrastructure to integrate household peripherals, this paper presents a practical approach to the implementation of a smart home."
Modeling a Smart Home for Elderly,Ambient intelligence; Agents; Elderly; Reference net; Timed net; Smart home,"In the near future, our homes will be equipped with many sensors, actuators and devices able to smartly interact in order to offer complex services providing even richer functionalities. Among the general population, those most likely to benefit from the development of these systems are the elderly and dependent people who wish to continue living independently in their home as opposed to being forced to live in a hospital. However, today's systems are mainly based on ad hoc and proprietary solutions. To cope with the ad-hoc nature of smart home systems design process while taking into account both dimensions of time and space, it is required to use a suitable formal model that is able to handle smart home domain specific nature. This paper proposes an approach that uses reference nets to model a smart home which is sensitive, adaptive and responsive to elderly's presence, needs and preferences."
Secure device control scheme with blockchain in a smart home,Smart home; device control; spoofing; blockchain; zero-knowledge proof,"The Internet of Things (IoT) and blockchain technologies characterizing the era of the fourth industrial revolution have enabled smart home networks to support their various systems and services. In a blockchain-based smart-home network environment, all connected IoT devices must be controlled safely and efficiently. Nevertheless, existing block-chain-based smart-home IoT systems pose a delay issue due to the necessary block generation time. In addition, IoT devices installed in smart homes should be able to prevent forgery attacks such as spoofing because they are often directly associated with personal information. In this study, we proposed an enhanced method to control smart home devices safely and efficiently by applying the zero-knowledge proof combined with a blockchain-based IoT system to protect the public keys of home network devices and the communication among them. The proposed model was approximately 10 s faster than the block generation-based model when it communicated three times in rinkeby, which is one of the test networks of Ethereum."
My Smart Remote: A Smart Home Management Solution for Children,Internet of Things (IoT); smart city; smart home system; embedded computing; Cloud data mining; Fog Computing; Distributed Data Analytics,"In this study, a concept is presented that extends the My Remote previous project to a smart home solution, or the My Smart Remote. The concept extends its management capabilities for children's lives in the home, while at the same time safely and securely sharing collected data about children's activities with external parties including educationalists, health care professionals, psychologists and marketers of products and services used by children. Sharing data not only benefits these external parties but also the children themselves as solutions can be tailored to their needs. Because the My Smart Remote is for children, security and privacy concerns are paramount. A contribution of this concept that is primarily derived from the need for safety and security, and also efficiency in processing, is a solution where much of the sensor data of the My Smart Remote is processed locally, in addition to the cloud. This solution is based on the idea that smart solutions, such as smart cities and smart homes, generate a large amount of sensor data which can be more efficiently processed locally rather than depending on the cloud. The My Smart Remote using sensor data from around the home to manage television viewing, video gaming, activity on PCs, mobile phones and tablets, all in terms of time spent and types of activity. Additionally, the My Smart Remote will monitor these activities which will also include other activities such as taking drinks from the fridge and homework activities and collect, and share the associated data with external parties."
Enhancing smart-home environments using Magentix2,Multi-Agent Systems; Normative Environment; Smart-Home,"Multi-agent system paradigm has been envisioned as an appropriate solution for challenges in the area of smart-environments. Specifically, MAS add new capabilities such as adaption, reorganization, learning, coordination, etc. These features allow to deal with open issues in the context of smart-homes such as multi-occupancy, activity tracking or profiling activities and behaviors from multiple residents. In this paper, we present Magentix2 as a suitable MAS platform for the development of dynamic smart environments. Specifically, the use of Magentix2 (http://gti-ia.upv.es/sma/tools/magentix2/index.php) facilitates the management of the multiple occupancy in smart living spaces. Normative virtual organizations provide the possibility of defining a set of norms and organizational roles that facilitate the regulation and control of the actions that can be carried out by internal and external agents depending on their profile. Moreover, Magentix2 provides a tracing service to keep track of activities carried out in the system. We illustrate the applicability and benefits of Magentix2 in a set of scenarios in the context of smart-homes. (C) 2016 Elsevier B.V. All rights reserved."
A Guideline-Driven Platform for Healthcare Services in Smart Home Environments,Telecare; Guideline Interchange Format (GLIF); home healthcare,"This paper presents a guideline-driven healthcare service platform for smart homes. The clinical guidelines are usually established by medical experts according to the symptoms of diseases. Based on the biological and ambient information detected by sensors, the guideline-driven system makes the appropriate care decisions and then takes actions. In case of emergency, the platform uses the short message system to inform the relevant units immediately. The proposed service platform can therefore reduce the burdens of care and unexpected events in an effective way; therefore it enhances the quality of family care."
Cybersecurity Threats and Countermeasures of the Smart Home Ecosystem,Smart home; Cybersecurity; Internet of Things (IoT); Security countermeasure; Authentication,"The tremendous growth of the Internet of things is unbelievable. Many IoT devices have emerged on the market over the last decade. This has made our everyday life easier inside our homes. The technology used at home has changed significantly over the past several decades, leading to what is known today as the smart home. However, this growth has also brought new challenges to our home security and privacy. With the smart home becoming more mainstream, cybersecurity issues have become a fundamental concern. The smart home is an environment where heterogeneous devices and appliances are interconnected through the Internet of Things (IoT) to provide smart services to residents. These services include home climate control, energy management, video on demand, music on-demand, remote healthcare, remote control, and other similar services in a ubiquitous manner. Smart home devices can be controlled via the Internet using smartphones. However, connecting smart home appliances to wireless networks and the Internet makes individuals vulnerable to malicious attacks. Remote access within the same environment or over the Internet requires an effective access control mechanism. This paper intends to shed light on how smart home devices are working as well as the type of security and privacy threats of the smart home. It also illustrated the types of authentication methods that can be used with smart home devices. In addition, a comparison of Smart home IoT-based security protocols was presented along with a security countermeasure that can be used in a smart home environment. Finally, a few open problems were mentioned as future research directions for researchers."
A Cloud-based monitoring framework for Smart Home,component; Cloud computing; Smart Home; remote monitoring,"Today, Smart Home monitoring services have attracted much attention from both academia and industry. However, in the conventional monitoring mechanism the remote camera can not be accessed for remote monitoring anywhere and anytime. Besides, traditional approaches might have the limitation in local storage due to lack of device elasticity. In this paper, we proposed a Cloud-based monitoring framework to implement the remote monitoring services of Smart Home. The main technical issues considered include Data-Cloud storage, Local-Cache mechanism, Media device control, NAT traversal, etc. The implementation shows three use scenarios: (a) operating and controlling video cameras for remote monitoring through mobile devices or sound sensors; (b) streaming live video from cameras and sending captured image to mobile devices; (c) recording videos and images on a cloud computing platform for future playback. This system framework could be extended to other applications of Smart Home."
Design of an IoT Smart Home System,internet of things; microcontrollers; smart home,"This paper basically deals with design of an IoT Smart Home System (IoTSHS) which can provide the remote control to smart home through mobile, infrared(IR) remote control as well as with PC/Laptop. The controller used to design the IoTSHS is WiFi based microcontroller. Temperature sensor is provided to indicate the room temperature and tell the user if it's needed to turn the AC ON or OFF. The designed IoTSHS need to be interfaced through switches or relays with the items under control through the power distribution box. When a signal is sent from IoTSHS, then the switches will connect or disconnect the item under control. The designed IoT smart home system can also provide remote controlling for the people who cannot use smart phone to control their appliances Thus, the designed IoTSHS can benefits the whole parts in the society by providing advanced remote controlling for the smart home. The designed IoTSHS is controlled through remote control which uses IR and WiFi. The IoTSHS is capable to connect to WiFi and have a web browser regardless to what kind of operating system it uses, to control the appliances. No application program is needed to purchase, download, or install. In WiFi controlling, the IoTSHS will give a secured Access Point (AP) with a particular service set identifier (SSID). The user will connect the device (e.g. mobile-phone or Laptop/PC) to this SSID with providing the password and then will open the browser and go to particular fixed link. This link will open an HTML web page which will allow the user to interface between the MobilePhone/Laptop/PC and the appliances. In addition, the IoTSHS may connect to the home router so that the user can control the appliances with keeping connection with home router. The proposed IoTSHS was designed, programmed, fabricated and tested with excellent results."
Trust-Based Authentication for Smart Home Systems,Smart home; IoT; Authentication; Jamming attacks; Clone attacks,"Smart home systems are developed to interconnect and automate household appliances and create ubiquitous home services. Such a system is mainly driven by the communications among Internet-of-Things (IoT) objects along with Radio Frequency IDentification (RFID) technologies, where the RFID techniques in the IoT network are commonly prone to malicious attacks due to the inherent weaknesses of underlying wireless radio communications. Thus, it causes the smart home systems vulnerable to some active attacks such as the jamming and cloning attacks, which in turn threaten to home breach and personal information disclosure. This paper therefore proposes a new trust-based authentication scheme to effectively address two typical attacks, jamming and cloning attacks, in smart home environment. The evaluation shows that our solution can significantly reduce the authentication failure in jamming attacks, increase the detection probability of cloning attacks, and improve the authentication efficiency to manage the authentication delay in a reasonable time."
Smart Home Sweet Smart Home: An Examination of Smart Home Acceptance,Pervasive Technology; Private Settings; Satisfaction; Smart Home; Technology Acceptance,"Technology acceptance in private spaces has not received much attention, although users' behaviour may be different due to the space in which usage takes place. To address this gap, the present study proposed a model exploring individuals' values, users' perception of technology performance and attitudinal beliefs in relation to use behaviour and satisfaction when using smart technologies in their homes. The study employed a sample of 422 participants in the USA. Structural equation modelling was utilised to test the proposed hypotheses. The model provided robust results explaining factors underpinning the use of pervasive technology in private settings. Specifically, the study showed that hedonic and utilitarian beliefs are critical for the perception of task fit, whereas privacy and financial factors were found to be not significant. The fit between tasks and technology demonstrated a significant role in predicting perceived usefulness, perceived ease of use, use behaviour, and satisfaction. Lastly, use behaviour showed a positive correlation with satisfaction."
"Motivations, barriers and risks of smart home adoption: From systematic literature review to conceptual framework",Smart home; Home automation; Domotics; Smart living; Internet-of-Things (IoT); Technology adoption,"Smart home technology provides a suite of independently and remotely controlled software and hardware that are connected into a network to deliver smart living. Smart homes have immense potential to shape the future living, and the market is maturing, but factors influencing households' adoption of smart home technology services are still an understudied area. The study aims to identify the prominent smart home technology services and generate an understanding of the motivations, barriers, and risks of adoption from a consumer perspective. The paper reviews the literature and builds a conceptual framework of smart home adoption. The findings disclose: (a) Prominent technology services are associated with healthcare, energy efficiency and home security; (b) Primary motivations to adopt smart home technology services include efficient energy management, better home-based healthcare services, potential financial savings and benefits, and enhanced quality of life; (c) Main barriers to the smart home adoption include the distrust and resistance, limited perception of smart home, concerns of financial issues, privacy and security concerns, technology anxiety and negative social influences, and; (d) Main risks include privacy and security threats, energy rebounds and wasteful consumption, difficulty in the domestication of technology and destructiveness in domestic life."
The Problem of Sharing IoT Services Within One Smart Home Infrastructure,IoT; Video surveillance; Services stability,"The article presents the risk of sharing the communication link for IoT (Internet of Things) services. The integration of two popular smart home systems - video surveillance system and home automation has been considered. The case in which data processing, analysis and development of control is carried out on an external server is analysed. The computer simulation has used services that unevenly and asymmetrically loaded the bandwidth. In the study, both the link state and RESTful failures were reported simultaneously."
Hybrid Cloud Architecture for Cross-Platform Interoperability in Smart Homes,Cloud; IoT; Interoperability; Smart home,"With the development and application of Internet of Things (IoT) technology, many home device maker and/or vendors are interested in developing available solutions of smart home. These heterogeneous systems need to be fully interoperable to support the joint and harmonized execution of household operations. However, the heterogeneity of devices, services and communication protocols involved in most of the available solutions developed by different vendors, still remains a challenge issue of interoperability, and is adversely affecting the widespread application. Hence, it needs to be reasonably solved to operate the heterogeneous systems in IoT-enabled smart homes in an optimal fashion. To address this issue of cross-platform interoperability, a hybrid cloud architecture for IoT-enabled smart homes is proposed in this paper, which presents a solid solution to achieve the effective and efficient interoperability of the heterogeneous services and devices from different vendors. The conducted experiments have been shown to demonstrate the performance."
